
HII region,l,b,# of refs
[L89b] 24.392+00.072,24.4,0.1,1
[L89b] 24.460-00.246,24.5,-0.2,1
[ABG85] 42,24.5,0.5,7
[L89b] 24.467+00.489,24.5,0.5,1
[WBH98] 18314-0720,24.5,0.5,1
[L89b] 24.484+00.211,24.5,0.2,1
[C72] G024.5+0.2,24.5,0.2,0
[L89b] 24.502-00.039,24.5,0.0,1
[L89b] 24.517-00.233,24.5,-0.2,1
LBN 024.48-00.22,24.5,-0.2,3
RCW 172,24.6,-0.1,0
[L89b] 24.677-00.160,24.7,-0.2,2
[ABG85] 46,24.7,-0.2,3
[L89b] 24.720-00.085,24.7,-0.1,1
[L89b] 24.742-00.207,24.7,-0.2,2
[LPH96] 024.775-0.400,24.8,-0.4,1
[FC2000] G024.79+0.08 A,24.8,0.1,1
[FC2000] G024.79+0.08 B,24.8,0.1,2
EQ 1833-0713,24.8,0.1,1
[L89b] 24.805+00.098,24.8,0.1,1
[WBH98] 18335-0711,24.8,0.1,2
[LPH96] 024.905+0.431,24.9,0.4,1
LBN 024.91+00.57,24.9,0.5,0
[L89b] 25.161+00.069,25.2,0.1,1
[L89b] 25.264-00.317,25.3,-0.3,1
BBW 35201,25.3,0.2,0
[WAM82] 025.293+0.306,25.3,0.3,0
[L89b] 25.294+00.307,25.3,0.3,1
[LDW85] G25.4-0.2,25.3,-0.1,1
RCW 173,25.4,0.2,0
LBN 025.36+00.24,25.4,0.2,7
GRS 024.80 +00.10,25.4,-0.2,30
EQ 1835-0650,25.4,-0.2,21
[L89b] 25.386-00.347,25.4,-0.3,1
GAL 025.40+00.03,25.4,0.0,3
GAL 025.4-00.2,25.4,0.0,3
GAL 025.40-00.14,25.4,-0.1,3
[L89b] 25.405-00.254,25.4,-0.2,1
IRAS 18358-0647,25.5,-0.2,8
[ADP79] 025.520-0.215,25.5,0.2,1
[WC89] 025.72+0.05A,25.7,0.0,1
[WBH98] 18353-0628,25.7,0.0,2
GAL 025.70+00.03,25.7,0.0,3
GAL 025.72+00.05,25.7,0.1,6
GAL 025.77+00.21,25.8,0.2,3
[WBH98] 18361-0627,25.8,-0.1,2
[LPH96] 025.945+0.125,26.0,0.1,1
GAL 026.0+00.1,26.0,0.2,1
[ABG85] 48,26.1,-0.1,5
[L89b] 26.433+00.614,26.4,0.6,1
[LPH96] 026.467+0.018,26.5,0.0,1
[L89b] 26.536+00.416,26.5,0.4,1
[WAM82] 026.542+0.416,26.5,0.4,1
[L89b] 26.555-00.305,26.5,-0.3,1
IRAS 18372-0541,26.6,0.0,8
[LPH96] 026.597+0.093,26.6,0.1,1
[L89b] 26.600-00.106,26.6,-0.1,1
[L89b] 26.981-00.066,27.0,-0.1,1
[L89b] 27.132+00.000,27.1,0.0,1
[WBH98] 18385-0512,27.2,-0.1,1
GAL 027.28+00.15,27.3,0.2,14
[WC89] 027.28+0.15A,27.3,0.1,1
[L89b] 27.307-00.144,27.3,-0.1,1
[ABG85] 51,27.5,0.2,4
[LPH96] 027.975+0.080,28.0,0.1,2
[LPH96] 027.997+0.317,28.0,0.3,1
[L89b] 28.001-00.031,28.0,0.0,1
[LPH96] 028.146+0.146,28.1,0.2,1
[WBH98] 18403-0417,28.2,-0.1,2
GAL 028.29-00.36,28.3,-0.4,2
IRAS 18416-0421,28.3,-0.4,2
[L89b] 28.295-00.377,28.3,-0.4,1
[WBH98] 18416-0420,28.3,-0.4,3
[L89b] 28.312-00.023,28.3,0.0,1
[LPH96] 028.400+0.478,28.4,0.5,1
[L89b] 28.440-00.002,28.4,-0.0,1
[L89b] 28.596-00.363,28.6,-0.4,1
[L89b] 28.600+00.015,28.6,0.0,1
[WAM82] 028.597-0.364,28.6,-0.4,1
[L89b] 28.638+00.194,28.6,0.2,1
[L89b] 28.658+00.030,28.7,0.0,1
IRAS 18408-0348,28.7,0.1,11
[L89b] 28.787+00.252,28.8,0.2,2
[L89b] 28.801+00.174,28.8,0.2,1
[ABG85] 53,28.8,0.2,3
[L89b] 28.823-00.226,28.8,-0.2,1
EQ 184207.3-034827,28.8,-0.2,1
[WBH98] 18421-0348,28.8,-0.2,2
[LPH96] 028.862+0.057,28.9,0.1,1
[WHR97] 18411-0338,28.9,0.1,1
[L89b] 28.983-00.603,29.0,-0.6,1
LBN 029.07-00.63,29.0,-0.8,10
RCW 175,29.1,-0.7,0
[L89b] 29.094-00.713,29.1,-0.7,1
[L89b] 29.139+00.431,29.1,0.4,1
[L89b] 29.136-00.042,29.1,0.0,1
[L89b] 29.205-00.047,29.2,-0.1,1
[LPH96] 029.551+0.114,29.5,0.1,1
[WAM82] 029.698-0.250,29.7,-0.2,0
GAL 029.9-00.0,29.9,-0.1,8
[WC89] 029.96-0.02B,29.9,-0.1,1
[L89b] 29.944-00.042,29.9,0.0,1
GAL 029.95-00.02,30.0,0.0,35
[WC89] 029.96-0.02A,30.0,0.0,1
GAL 029.96-00.02,30.0,0.0,79
[WBH98] 18434-0242,30.0,0.0,2
[LPH96] 030.001-0.602,30.0,-0.6,1
[LPH96] 030.060-0.322,30.1,-0.3,1
[L89b] 30.069-00.160,30.1,-0.2,1
[L89b] 30.227-00.145,30.2,-0.2,1
[L89b] 30.277-00.020,30.3,0.0,1
IRAS 18447-0229,30.3,-0.2,7
[LPH96] 030.371-0.486,30.4,-0.5,1
[L89b] 30.404-00.238,30.4,-0.2,1
RCW 176,30.4,0.4,0
[L89b] 30.467+00.429,30.5,0.4,1
[L89b] 30.470-00.039,30.5,0.0,1
LBN 030.54+00.41,30.5,0.4,5
[L89b] 30.502-00.290,30.5,-0.3,2
[L89b] 30.509-00.447,30.5,-0.4,1
[ABG85] 55,30.5,0.0,6
[WC89] 030.54+0.02B,30.5,0.0,1
[KB94] 1,30.5,0.0,2
[WBH98] 18443-0210,30.5,0.0,2
LBN 030.66-00.65,30.6,-0.6,3
[KB94] 3,30.6,-0.1,2
[LPH96] 030.693-0.630,30.7,-0.6,1
[ABG85] 60,30.7,-0.3,2
[L89b] 30.694-00.261,30.7,-0.3,1
[WBH98] 18450-0200,30.8,-0.1,2
[WMG70] 030.8+00.0,30.8,0.0,0
[LDW85] G30.8+0.0,30.8,0.0,1
EQ 1845-0159,30.8,0.0,5
[WBH98] 18440-0148,30.8,0.3,2
[KB94] 5,30.8,-0.2,2
[KB94] 6,30.9,0.1,2
[WBH98] 18446-0150,30.9,0.1,3
[KB94] 8,31.0,0.1,2
[WAM82] 030.962+0.590,31.0,0.6,0
[KB94] 9,31.0,0.0,2
[L89b] 31.050+00.480,31.0,0.5,2
[KB94] 10,31.0,0.1,2
[WBH98] 18452-0141,31.1,0.1,2
[L89b] 31.130+00.284,31.1,0.3,1
[WAM82] 031.131+0.284,31.1,0.3,1
[KB94] 12,31.2,-0.1,2
[KB94] 13,31.2,-0.1,2
[WBH98] 18461-0136,31.2,-0.1,1
[KB94] 15,31.3,0.1,2
GAL 031.28+00.06,31.3,0.1,3
[WBH98] 18456-0129,31.3,0.1,2
IRAS 18456-0129,31.3,0.1,11
[WBH98] 18469-0132,31.4,-0.3,2
[L89b] 31.401-00.259,31.4,-0.3,1
[L89b] 31.411+00.309,31.4,0.3,1
[WBH98] 18449-0115,31.4,0.3,3
GAL 031.41+00.31,31.4,0.3,64
[KB94] 16,31.6,0.1,2
[LPH96] 031.602-0.227,31.6,-0.2,1
[LPH96] 031.607+0.334,31.6,0.3,1
[L89b] 31.650-00.649,31.6,-0.6,1
[LPH96] 031.816-0.121,31.8,-0.1,1
[LPH96] 031.850-0.332,31.9,-0.3,1
[LPH96] 032.102+0.056,32.1,0.1,1
[KB94] 17,32.2,0.1,2
[LPH96] 032.210-0.037,32.2,0.0,1
[LPH96] 032.378+0.101,32.4,0.1,1
[KB94] 18,32.8,0.2,2
[WHR97] 18479-0005,32.8,0.2,1
GAL 032.806+00.192,32.8,0.2,7
[WAM82] 032.926+0.608,32.9,0.6,0
EQ 1847-0005,33.0,0.3,15
[KB94] 19,33.1,-0.1,3
[KB94] 20,33.2,0.0,2
[WAM82] 032.151+0.133,33.4,0.8,0
GAL 033.38+00.77,33.4,0.8,1
[KB94] 21,33.4,-0.0,2
[WAM82] 033.498+0.196,33.5,0.2,0
[CCS92] 1849+005,33.5,0.2,17
IRAS 18504+0025,33.5,-0.1,2
[ABG85] 63,33.9,0.1,35
[LPH96] 033.943-0.036,33.9,0.0,1
[WAM82] 034.132+0.472,34.1,0.5,0
[WC89] 034.26+0.15C,34.3,0.2,2
[WC89] 034.26+0.15B,34.3,0.2,1
[WAM82] 034.256+0.148,34.3,0.2,1
GAL 034.3+00.2,34.3,0.2,74
GRS 034.30 +00.10,34.3,0.2,5
IRAS 18507+0121,34.4,0.2,17
[WMG70] 034.7-00.8,34.7,-0.8,0
IRAS 18544+0112,34.7,-0.7,5
[WMG70] 034.7-00.5,34.7,-0.5,0
[L89b] 34.758-00.681,34.8,-0.7,1
[KB94] 24,34.9,0.0,2
[WC89] 035.05-0.52B,35.0,-0.5,1
[L89b] 35.041-00.498,35.0,-0.5,1
[WAM82] 035.043-0.498,35.0,-0.5,1
[WC89] 035.05-0.52A,35.0,-0.5,1
GAL 035.05-00.52,35.0,-0.5,13
[LPH96] 035.286+0.831,35.3,0.8,1
[WAM82] 035.573+0.071,35.6,0.1,0
[KB94] 25,35.6,0.1,2
[KB94] 26,35.6,-0.5,3
[KB94] 27,35.6,0.0,2
[L89b] 35.673-00.847,35.7,-0.9,1
[KB94] 28,36.3,0.7,3
[KB94] 29,36.5,-0.2,2
[L89b] 36.914+00.489,36.9,0.5,1
[LPH96] 037.076-0.244,37.1,-0.2,1
[LPH96] 037.182-0.436,37.2,-0.4,1
[LPH96] 037.350+0.687,37.3,0.7,1
[WAM82] 037.360+0.680,37.4,0.7,0
[L89b] 37.361-00.228,37.4,-0.2,3
[WAM82] 037.362-0.228,37.4,-0.2,0
[KB94] 31,37.4,-0.1,2
[KB94] 32,37.4,0.0,2
[KB94] 33,37.5,-0.1,3
[WAM82] 037.542-0.113,37.5,-0.1,1
[WC89] 037.55-0.11A,37.5,-0.1,1
GAL 037.55-00.11,37.5,-0.1,16
[KB94] 34,37.6,-0.1,2
[KB94] 35,37.7,0.1,2
[WAM82] 037.746-0.112,37.8,-0.1,0
[KB94] 36,37.8,-0.1,3
[KB94] 37,37.8,-0.2,3
[WAM82] 037.865-0.600,37.9,-0.6,0
[KB94] 38,37.9,-0.4,6
[KCW94] 037.874-00.399,37.9,-0.4,3
IRAS 18596+0416,38.0,-0.4,4
[KB94] 39,38.0,0.0,2
[LPH96] 038.307-0.168,38.3,-0.2,1
[LPH96] 038.305+0.139,38.3,0.1,1
[KB94] 40,39.2,-0.1,3
[WAM82] 039.252-0.063,39.2,-0.1,0
[ABG85] 69,39.2,-0.1,2
[LPH96] 039.624-0.092,39.6,-0.1,1
[WAM82] 039.870+0.650,39.9,0.6,0
[L89b] 40.947-00.567,41.0,-0.6,1
[KB94] 41,41.1,-0.2,3
3C 397W,41.1,-0.2,1
[KB94] 42,41.2,0.4,2
[WAM82] 041.514-0.137,41.5,-0.1,0
EQ 190438.5+073420,41.5,0.0,1
[WAM82] 041.517+0.036,41.5,0.0,0
[KB94] 43,41.5,0.0,4
[WC89] 041.71+0.11,41.7,0.1,1
[WAM82] 041.730+0.100,41.7,0.1,0
[WC89] 041.74+0.10,41.7,0.1,1
[LPH96] 041.905-0.123,41.9,-0.1,1
[KB94] 44,42.1,-0.6,3
[LPH96] 042.199+0.036,42.2,0.0,1
[LPH96] 042.400-0.380,42.4,-0.4,1
[WC89] 042.42-0.27B,42.4,-0.3,1
[WC89] 042.42-0.27,42.4,-0.3,1
[WC89] 042.42-0.27C,42.4,-0.3,1
GAL 042.44-00.26,42.4,-0.3,3
[WC89] 042.42-0.27A,42.4,-0.3,1
EQ 1907+0814,42.4,-0.3,5
[KB94] 46,42.6,-0.1,3
[WAM82] 042.893+0.573,42.9,0.6,0
GAL 042.90+00.57,42.9,0.6,1
[WC89] 042.90+0.57A,42.9,0.6,1
[WC89] 042.90+0.57B,42.9,0.6,1
GAL 043.18-00.52,42.9,-0.7,23
[MVN98] 19092+0841,43.0,-0.4,2
W 49S,43.2,0.0,28
[DJW84] W49 D,43.2,0.0,8
[DJW84] W49 A,43.2,0.0,14
[WMG70] 043.2+00.0,43.2,0.0,0
W 49N,43.2,0.0,56
[DJW84] W49 M,43.2,0.0,6
[DJW84] W49 N,43.2,0.0,4
[DJW84] W49 K,43.2,0.0,4
[DJW84] W49 L,43.2,0.0,6
